country,company,wiki_url,official_sites,status_note
China,Dachan Food,https://en.wikipedia.org/wiki/Dachan_Food_(Asia),,
China,Dairy Farm International Holdings,https://en.wikipedia.org/wiki/Dairy_Farm_International_Holdings,https://www.dfiretailgroup.com/,Confirmed
China,Foshan Haitian Flavouring & Food Co,https://en.wikipedia.org/wiki/Foshan_Haitian_Flavouring_%26_Food_Co,,
China,Fufeng Group,https://en.wikipedia.org/wiki/Fufeng_Group,http://www.fufeng-group.com/,Confirmed
China,Fujian Dali Group,https://en.wikipedia.org/wiki/Fujian_Dali_Group,http://www.dali-group.com/,Confirmed
China,Global Sweeteners,https://en.wikipedia.org/wiki/Global_Sweeteners,,
China,Hangzhou Wahaha Group,https://en.wikipedia.org/wiki/Hangzhou_Wahaha_Group,,
China,Hanwei Group,https://en.wikipedia.org/wiki/Hanwei_Group,,
China,Huiyuan Juice,https://en.wikipedia.org/wiki/Huiyuan_Juice,http://www.huiyuan.com.cn/ir_index_l_en-us%20China%20Huiyuan%20Juice%20Group%20Limited,Confirmed
China,Kee Wah Bakery,https://en.wikipedia.org/wiki/Kee_Wah_Bakery,,
China,Kweichow Moutai Company,https://en.wikipedia.org/wiki/Kweichow_Moutai_Company,https://www.moutaichina.com,Confirmed
China,La Rose Noire,https://en.wikipedia.org/wiki/La_Rose_Noire,,
China,Mengniu Dairy,https://en.wikipedia.org/wiki/Mengniu_Dairy,http://www.mengniu.com.cn/en/,Confirmed
China,Shuanghui,https://en.wikipedia.org/wiki/Shuanghui,http://www.wh-group.com/html/index.php,Confirmed
China,Tien Chun Ve-Tsin,https://en.wikipedia.org/wiki/Tien_Chun_Ve-Tsin,http://www.tienchu.com,Confirmed
China,Ting Hsin International Group,https://en.wikipedia.org/wiki/Ting_Hsin_International_Group,http://www.tinghsin.com/en/news2.aspx,Confirmed
China,Uni-President Enterprises Corporation,https://en.wikipedia.org/wiki/Uni-President_Enterprises_Corporation,,
China,Viro,https://en.wikipedia.org/wiki/Viro_(company),http://www.secerana.hr,Confirmed
China,Want Want,https://en.wikipedia.org/wiki/Want_Want,http://www.want-want.com/,Confirmed
China,Xinjiang Chalkis Co.Ltd,https://en.wikipedia.org/wiki/Xinjiang_Chalkis_Co.Ltd,,
China,Yili Group,https://en.wikipedia.org/wiki/Yili_Group,https://www.yili.com/,Confirmed
China,Yurun Group,https://en.wikipedia.org/wiki/Yurun_Group,http://www.yurun.com/,Confirmed
China,Zoo Holdings Group,https://en.wikipedia.org/wiki/Zoo_Holdings_Group,,
